time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,25,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
0.00000,Traditional RPL,22,0,1.00000,0.00000,1.00000,0.10000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,22,6,0.99391,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
0.00000,Traditional RPL,22,9,0.99369,0.29347,0.00000,0.70653,,0.70653,0.70653,0,,,traditional
0.00000,Traditional RPL,22,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,22,26,0.96478,0.31818,0.40000,0.48182,,0.68182,0.68182,0,,,traditional
0.00000,Traditional RPL,23,2,0.99262,0.35668,0.00000,0.64332,,0.64332,0.64332,6,,,traditional
0.00000,Traditional RPL,23,6,0.99391,0.28141,0.00000,0.71859,,0.71859,0.71859,6,,,traditional
0.00000,Traditional RPL,23,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,6,,,traditional
0.00000,Traditional RPL,23,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,6,,,traditional
0.00000,Traditional RPL,23,24,1.00000,0.45661,0.00000,0.54339,,0.54339,0.54339,6,,,traditional
0.00000,Traditional RPL,23,26,0.96478,0.31818,0.40000,0.48182,,0.68182,0.68182,6,,,traditional
0.00000,Traditional RPL,23,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,6,,,traditional
0.00000,Traditional RPL,6,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,6,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,24,2,0.99262,0.35668,0.00000,0.64332,,0.64332,0.64332,6,,,traditional
0.00000,Traditional RPL,24,6,0.98583,0.28141,0.10000,0.66859,,0.71859,0.71859,6,,,traditional
0.00000,Traditional RPL,24,9,0.99369,0.29347,0.00000,0.70653,,0.70653,0.70653,6,,,traditional
0.00000,Traditional RPL,24,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,6,,,traditional
0.00000,Traditional RPL,24,22,0.99263,0.34409,0.00000,0.65591,,0.65591,0.65591,6,,,traditional
0.00000,Traditional RPL,24,26,0.96478,0.31818,0.40000,0.48182,,0.68182,0.68182,6,,,traditional
0.00000,Traditional RPL,24,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,6,,,traditional
0.00000,Traditional RPL,6,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,6,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,25,0,1.00000,0.00000,1.00000,0.05000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,25,8,0.96420,0.15648,0.50000,0.59352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,25,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,25,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
