time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
70.0,8.740274990973887,1.7086575003008704,30,29,0,450,85,365,0.18888888888888888,22.305858214274387,671,33,RL-00450,30,29.980107800043733,30 -> 18 -> 0,delivered
71.0,8.740274990973887,1.7086575003008704,30,29,0,450,85,365,0.18888888888888888,22.305858214274387,671,33,,,,,
72.0,8.740274990973887,1.7086575003008704,30,29,0,450,85,365,0.18888888888888888,22.305858214274387,671,33,,,,,
73.0,8.740274990973887,1.7086575003008704,30,29,0,450,85,365,0.18888888888888888,22.305858214274387,671,33,,,,,
74.0,8.740274990973887,1.7086575003008704,30,29,0,450,85,365,0.18888888888888888,22.305858214274387,671,33,,,,,
75.0,9.280913773208141,1.6906362075597285,30,29,0,480,88,392,0.18333333333333332,23.039302604655937,711,35,RL-00480,30,24.921835339067616,30 -> 18,lost
76.0,9.280913773208141,1.6906362075597285,30,29,0,480,88,392,0.18333333333333332,23.039302604655937,711,35,,,,,
77.0,9.280913773208141,1.6906362075597285,30,29,0,480,88,392,0.18333333333333332,23.039302604655937,711,35,,,,,
78.0,9.280913773208141,1.6906362075597285,30,29,0,480,88,392,0.18333333333333332,23.039302604655937,711,35,,,,,
79.0,9.280913773208141,1.6906362075597285,30,29,0,480,88,392,0.18333333333333332,23.039302604655937,711,35,,,,,
80.0,9.802989757815787,1.6732336747394738,30,29,0,510,93,417,0.18235294117647058,24.269677873065472,750,37,RL-00510,30,27.610053279346673,30 -> 18,lost
81.0,9.802989757815787,1.6732336747394738,30,29,0,510,93,417,0.18235294117647058,24.269677873065472,750,37,,,,,
82.0,9.802989757815787,1.6732336747394738,30,29,0,510,93,417,0.18235294117647058,24.269677873065472,750,37,,,,,
83.0,9.802989757815787,1.6732336747394738,30,29,0,510,93,417,0.18235294117647058,24.269677873065472,750,37,,,,,
84.0,9.802989757815787,1.6732336747394738,30,29,0,510,93,417,0.18235294117647058,24.269677873065472,750,37,,,,,
85.0,10.322928227923214,1.6559023924025595,30,29,0,540,99,441,0.18333333333333332,25.748903587681372,788,37,RL-00540,30,25.42742144520177,30 -> 18,lost
86.0,10.322928227923214,1.6559023924025595,30,29,0,540,99,441,0.18333333333333332,25.748903587681372,788,37,,,,,
87.0,10.322928227923214,1.6559023924025595,30,29,0,540,99,441,0.18333333333333332,25.748903587681372,788,37,,,,,
88.0,10.322928227923214,1.6559023924025595,30,29,0,540,99,441,0.18333333333333332,25.748903587681372,788,37,,,,,
89.0,10.322928227923214,1.6559023924025595,30,29,0,540,99,441,0.18333333333333332,25.748903587681372,788,37,,,,,
90.0,10.841286431417636,1.6386237856194121,30,29,0,570,104,466,0.1824561403508772,26.978571972052634,826,38,RL-00570,30,27.530106720398532,30 -> 18,lost
91.0,10.841286431417636,1.6386237856194121,30,29,0,570,104,466,0.1824561403508772,26.978571972052634,826,38,,,,,
92.0,10.841286431417636,1.6386237856194121,30,29,0,570,104,466,0.1824561403508772,26.978571972052634,826,38,,,,,
93.0,10.841286431417636,1.6386237856194121,30,29,0,570,104,466,0.1824561403508772,26.978571972052634,826,38,,,,,
94.0,10.841286431417636,1.6386237856194121,30,29,0,570,104,466,0.1824561403508772,26.978571972052634,826,38,,,,,
95.0,11.39826224707663,1.6200579250974456,30,29,0,600,110,490,0.18333333333333332,28.32609794327342,869,40,RL-00600,30,20.94650805548337,30 -> 18 -> 0,lost
96.0,11.39826224707663,1.6200579250974456,30,29,0,600,110,490,0.18333333333333332,28.32609794327342,869,40,,,,,
97.0,11.39826224707663,1.6200579250974456,30,29,0,600,110,490,0.18333333333333332,28.32609794327342,869,40,,,,,
98.0,11.39826224707663,1.6200579250974456,30,29,0,600,110,490,0.18333333333333332,28.32609794327342,869,40,,,,,
